USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          87  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/3:0H-events_highpri]
root          88  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [cpuhp/5]
root          89  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [idle_inject/5]
root          90  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [migration/5]
root          91  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [ksoftirqd/5]
root          93  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/5:0H-events_highpri]
root          94  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [cpuhp/7]
root          95  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [idle_inject/7]
root          96  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [migration/7]
root          97  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [ksoftirqd/7]
root          99  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/7:0H-events_highpri]
root         100  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [cpuhp/9]
root         101  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [idle_inject/9]
root         102  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [migration/9]
root         103  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [ksoftirqd/9]
root         105  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/9:0H-events_highpri]
root         106  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [cpuhp/11]
root         107  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [idle_inject/11]
root         108  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [migration/11]
root         109  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [ksoftirqd/11]
root         111  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/11:0H-events_highpri]
root         112  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [kdevtmpfs]
root         113  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-inet_frag_wq]
root         114  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [rcu_tasks_kthread]
root         115  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [rcu_tasks_rude_kthread]
root         116  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [rcu_tasks_trace_kthread]
root         117  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [kauditd]
root         118  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [oom_reaper]
root         120  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-writeback]
root         121  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [kcompactd0]
root         122  0.0  0.0      0     0 ?        SN   Apr19   0:00  \_ [ksmd]
root         123  0.0  0.0      0     0 ?        SN   Apr19   0:00  \_ [khugepaged]
root         124  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-kblockd]
root         125  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-blkcg_punt_bio]
root         126  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-kintegrityd]
root         127  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/13:1-events_power_efficient]
root         128  0.0  0.0      0     0 ?        S    Apr19   0:01  \_ [irq/9-acpi]
root         129  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-tpm_dev_wq]
root         130  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-ata_sff]
root         131  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-md]
root         132  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-md_bitmap]
root         133  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-edac-poller]
root         134  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-devfreq_wq]
root         135  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [watchdogd]
root         136  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/15:1-mm_percpu_wq]
root         137  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/13:1H-kblockd]
root         139  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [kswapd0]
root         140  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-cryptd]
root         143  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-kthrotld]
root         145  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-acpi_thermal_pm]
root         148  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [hwrng]
root         153  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-hfi-updates]
root         155  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-dm_bufio_cache]
root         156  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-mld]
root         157  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-ipv6_addrconf]
root         158  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/2:1H-kblockd]
root         160  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-kstrp]
root         165  0.0  0.0      0     0 ?        I    Apr19   0:04  \_ [kworker/5:1-nouveau_sched_wq_shared]
root         166  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/6:1-events]
root         168  0.0  0.0      0     0 ?        I    Apr19   0:13  \_ [kworker/11:1-mm_percpu_wq]
root         169  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/7:1-events]
root         170  0.0  0.0      0     0 ?        I    Apr19   0:01  \_ [kworker/12:1-nouveau_sched_wq_shared]
root         180  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/u65:0-hci0]
root         211  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/9:1-mm_percpu_wq]
root         247  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/0:1H-kblockd]
root         249  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/4:1H-kblockd]
root         251  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/15:1H-kblockd]
root         290  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/3:1H-kblockd]
root         292  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/8:1H-kblockd]
root         295  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/6:1H-kblockd]
